"","prop_vbp_pText","prop_vbd_pText","prop_vbz_pText","prop_vbn_pText","prop_v_pText","prop_nn_pText","prop_prp_pText","prop_adv_pText","prop_dt_pText","prop_nnp_pText","prop_jjs_pText","prop_adj_pText","ave_adj_pText","lenWord_postText","lenSentence_postText","numWord_postText","numSentence_postText"
"1",0.0263157894736842,0,0.0263157894736842,0.0526315789473684,0.184210526315789,0.236842105263158,0.0526315789473684,0.0263157894736842,0.0263157894736842,0.5,0.0263157894736842,0.0789473684210526,1.5,4.05263157894737,91.5,38,2
"2",0.0333333333333333,0,0,0.0333333333333333,0.1,0.233333333333333,0,0,0.133333333333333,1,0.0333333333333333,0.133333333333333,4,4.66666666666667,166,30,1
"3",0,0.0357142857142857,0.0357142857142857,0,0.107142857142857,0.428571428571429,0.0357142857142857,0,0.0357142857142857,3.5,0,0.107142857142857,1.5,4.71428571428571,76,28,2
"4",0.0454545454545455,0,0,0.0454545454545455,0.0909090909090909,0.318181818181818,0,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,0.136363636363636,3,4.45454545454545,114,22,1
"5",0,0,0.0416666666666667,0,0.125,0.291666666666667,0.0833333333333333,0.0416666666666667,0.125,0,0,0.0416666666666667,0.5,4.29166666666667,61.5,24,2
"6",0,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0.272727272727273,0,0.0909090909090909,0,0,0,0.181818181818182,2,4.90909090909091,64,11,1
"7",0,0,0.0357142857142857,0.0714285714285714,0.142857142857143,0.357142857142857,0,0,0.142857142857143,4,0,0.142857142857143,4,4.39285714285714,152,28,1
"8",0,0.0333333333333333,0.0333333333333333,0,0.133333333333333,0.333333333333333,0.0333333333333333,0,0.1,0,0,0.1,3,4.76666666666667,171,30,1
"9",0.0666666666666667,0,0.0333333333333333,0.0333333333333333,0.2,0.233333333333333,0.1,0.0666666666666667,0.133333333333333,0,0,0,0,3.83333333333333,46,30,3
"10",0.0384615384615385,0,0,0.0384615384615385,0.153846153846154,0.423076923076923,0,0,0.0769230769230769,5,0,0.115384615384615,3,5.19230769230769,157,26,1
"11",0.0434782608695652,0.0434782608695652,0,0,0.130434782608696,0.347826086956522,0,0,0.173913043478261,2,0,0.0869565217391304,2,4.91304347826087,134,23,1
"12",0.0689655172413793,0,0,0.0344827586206897,0.137931034482759,0.241379310344828,0.0344827586206897,0.0689655172413793,0.0689655172413793,1,0,0.0689655172413793,2,4.62068965517241,160,29,1
"13",0.125,0,0,0,0.125,0.375,0.125,0.125,0,3,0,0,0,3.875,36,8,1
"14",0.0303030303030303,0,0.0303030303030303,0.121212121212121,0.181818181818182,0.393939393939394,0,0,0.0909090909090909,5,0,0.0909090909090909,3,4.75757575757576,187,33,1
"15",0.0666666666666667,0,0,0,0.133333333333333,0.333333333333333,0,0,0.0666666666666667,1,0,0.133333333333333,2,4.06666666666667,74,15,1
